country,year,fdi_inflow,bits,ln_gdp_pr_cap,ln_population,economic_growth,inflation,resource_rent,bilateral_trade_agreements,wto_member,polcon3
Botswana,1977,4.489376544952393,0,7.831658840179443,13.610194206237793,-0.020140191540122032,4.940000057220459,5.400000095367432,0,0,0.1899999976158142
Botswana,1978,5.5625762939453125,0,7.98105525970459,13.645623207092285,0.1611330807209015,12.470000267028809,3.5,0,0,0.1899999976158142
Botswana,1979,5.345772743225098,0,8.054348945617676,13.68117904663086,0.07604634016752243,21.860000610351563,5.899999618530273,0,0,0.1899999976158142
Botswana,1980,5.025672912597656,0,8.141395568847656,13.716794967651367,0.090948186814785,10.1899995803833,5.699999809265137,0,0,0.11999999731779099
Botswana,1981,3.5019803047180176,0,8.192157745361328,13.752400398254395,0.052072569727897644,-0.09000000357627869,3.9000000953674316,0,0,0.11999999731779099
Botswana,1982,3.563345432281494,0,8.152920722961426,13.787882804870605,-0.03847767412662506,3.700000047683716,3.5999999046325684,0,0,0.11999999731779099
Botswana,1983,4.484798431396484,0,8.236945152282715,13.815510749816895,0.0876554325222969,8.760000228881836,2.799999952316284,0,0,0.11999999731779099
Botswana,1984,4.300426959991455,0,8.271524429321289,13.815510749816895,0.035184409469366074,15.430000305175781,3.3000001907348633,0,0,0.11999999731779099
Botswana,1985,4.541342258453369,0,8.322672843933105,13.910820960998535,0.05247912183403969,22.8799991607666,4.099999904632568,0,0,0.23999999463558197
Botswana,1986,4.997645378112793,0,8.37210464477539,13.910820960998535,0.05067361146211624,14.0600004196167,2.299999952316284,0,0,0.23999999463558197
Botswana,1987,3.921967029571533,0,8.381903648376465,13.997832298278809,0.00984775647521019,12.6899995803833,1.7000000476837158,0,1,0.23999999463558197
Botswana,1988,3.9436874389648437,0,8.45362377166748,13.997832298278809,0.0743539035320282,22.700000762939453,8.199999809265137,0,1,0.23999999463558197
Botswana,1989,4.727237224578857,0,8.553214073181152,13.997832298278809,0.1047181785106659,13.649999618530273,6.599999904632568,0,1,0.23999999463558197
Botswana,1990,0,0,8.59803295135498,14.077875137329102,0.045838307589292526,6.300000190734863,1.7999999523162842,0,1,0.10999999940395355
Botswana,1991,0,0,8.647921562194824,14.077875137329102,0.05115475133061409,5.179999828338623,1.100000023841858,0,1,0.10999999940395355
Botswana,1992,0,0,8.668091773986816,14.151983261108398,0.020374882966279984,6.639999866485596,1.5,0,1,0.10999999940395355
Botswana,1993,0,0,8.650764465332031,14.151983261108398,-0.01717837154865265,13.0600004196167,1.3000000715255737,0,1,0.10999999940395355
Botswana,1994,4.27586555480957,0,8.659457206726074,14.151983261108398,0.008730512112379074,11.539999961853027,1.2000000476837158,0,1,0.10999999940395355
Botswana,1995,4.2626800537109375,0,8.68087387084961,14.220975875854492,0.021647369489073753,8.779999732971191,0.5,0,1,0.30000001192092896
Botswana,1996,4.587855815887451,0,8.711197853088379,14.220975875854492,0.030788760632276535,14.319999694824219,0.4000000059604645,0,1,0.30000001192092896
Botswana,1997,4.4610700607299805,0,8.768402099609375,14.220975875854492,0.05887189134955406,11.020000457763672,0.20000000298023224,0,1,0.30000001192092896
Botswana,1998,3.5489749908447266,2.977536916732788,8.854059219360352,14.285513877868652,0.08943317085504532,3.740000009536743,0.20000000298023224,0,1,0.30000001192092896
Botswana,1999,3.931232213973999,3.2816760540008545,8.969030380249023,14.285513877868652,0.12184087932109833,5.960000038146973,0.4000000059604645,0,1,0.2800000011920929
Botswana,2000,3.1549477577209473,9.369745254516602,8.995116233825684,14.346138954162598,0.026429595425724983,7.420000076293945,0.5,0,1,0.18000000715255737
Botswana,2001,3.517853260040283,8.35666275024414,8.978594779968262,14.346138954162598,-0.016385763883590698,4.360000133514404,0.30000001192092896,0,1,0.18000000715255737
Botswana,2002,NA,3.970299243927002,8.978594779968262,14.346138954162598,0,NA,NA,0,NA,NA
Brazil,1960,NA,0,7.771254539489746,18.10597038269043,NA,NA,NA,0,1,0.6100000143051147
Brazil,1961,NA,0,7.867490291595459,18.132999420166016,0.10101854056119919,31.299999237060547,NA,0,1,0.6100000143051147
Brazil,1962,NA,0,7.886119842529297,18.15931510925293,0.018804317340254784,78.83000183105469,NA,0,1,0.6100000143051147
Brazil,1963,NA,0,7.908685684204102,18.19753646850586,0.022822417318820953,69.7699966430664,NA,0,1,0
Brazil,1964,NA,0,7.919107913970947,18.22222900390625,0.010476608760654926,93.83000183105469,NA,0,1,0
Brazil,1965,NA,0,7.952500820159912,18.246326446533203,0.0339568555355072,51.380001068115234,NA,0,1,0
Brazil,1966,NA,0,7.965463161468506,18.281417846679687,0.013046827167272568,39.40999984741211,NA,0,1,0
Brazil,1967,NA,0,7.990531921386719,18.304147720336914,0.025385424494743347,29.239999771118164,NA,0,1,0
Brazil,1968,NA,0,8.071059226989746,18.326370239257813,0.08385851979255676,26.670000076293945,NA,0,1,0
Brazil,1969,7.237408638000488,0,8.125922203063965,18.35880470275879,0.05639608949422836,20.90999984741211,NA,0,1,0
Brazil,1970,7.324418544769287,0,8.194207191467285,18.379858016967773,0.07066988945007324,17.09000015258789,1.3000000715255737,0,1,0
Brazil,1971,7.299293041229248,0,8.276590347290039,18.40047836303711,0.08587238192558289,20.25,1,0,1,0
Brazil,1972,8.2014923095703125,0,8.3643035888671875,18.42068099975586,0.09167442470788956,19.139999389648438,1.100000023841858,0,1,0
Brazil,1973,8.169875144958496,0,8.467267036437988,18.42068099975586,0.10845090448856354,22.65999984741211,1.3000000715255737,0,1,0
Brazil,1974,8.079388618469238,0,8.526971817016602,18.5159912109375,0.06152357906103134,34.79999923706055,2.0999999046325684,0,1,0
Brazil,1975,8.135318756103516,0,8.549790382385254,18.5159912109375,0.02308119460940361,33.86000061035156,1.899999976158142,0,1,0
Brazil,1976,8.353116035461426,0,8.624581336975098,18.5159912109375,0.07765806466341019,47.630001068115234,1.7999999523162842,0,1,0
Brazil,1977,8.467667579650879,0,8.648427963256836,18.5159912109375,0.02413342520594597,46.18000030517578,1.399999976158142,0,1,0
Brazil,1978,8.498187065124512,0,8.65602970123291,18.603002548217773,0.007631117012351751,41.060001373291016,1.2999999523162842,0,1,0
Brazil,1979,8.186263084411621,0,8.701347351074219,18.603002548217773,0.046359699219465256,56.47999954223633,1.7999999523162842,0,1,0
Brazil,1980,8.376116752624512,0,8.76089096069336,18.603002548217773,0.061352476477622986,87.30999755859375,2.4000000953674316,0,1,0
Brazil,1981,8.49817943572998,0,8.698512077331543,18.603002548217773,-0.06047312915325165,107.20999908447266,2.3000001907348633,0,1,0
Brazil,1982,7.584077835083008,0,8.688826560974121,18.68304443359375,-0.00963880680501461,104.83000183105469,2.4000000953674316,0,1,0.38999998569488525
Brazil,1983,7.669267177581787,0,8.64084529876709,18.68304443359375,-0.04684855416417122,140.1999969482422,3.5,0,1,0.41999998688697815
Brazil,1984,7.5759758949279785,0,8.671121597290039,18.68304443359375,0.030739109963178635,212.7899932861328,4,0,1,0.41999998688697815
Brazil,1985,6.0466814041137695,0,8.724344253540039,18.757152557373047,0.05466422066092491,231.72000122070312,4.099999904632568,0,1,0.41999998688697815
Brazil,1986,7.329127788543701,0,8.77658462524414,18.757152557373047,0.05362898111343384,145.27000427246094,2.4000000953674316,0,1,0.41999998688697815
Brazil,1987,8.174248695373535,0,8.795153617858887,18.757152557373047,0.018742842599749565,204.10000610351562,2.3000001907348633,0,1,0.49000000953674316
Brazil,1988,7.231389045715332,0,8.776721954345703,18.757152557373047,-0.018263259902596474,651.1099853515625,2,0,1,0.49000000953674316
Brazil,1989,7.060423851013184,0,8.792566299438477,18.82614517211914,0.01597108505666256,1322.510009765625,1.7999999523162842,0,1,0.49000000953674316
