"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
627,"AT","Austria","female",46,1,NA,7,8,10,NA,NA,NA,NA
628,"AT","Austria","male",54,1,NA,8,9,9,4,4,8,10
629,"AT","Austria","male",24,2,NA,6,6,8,3,3,3,8
630,"AT","Austria","male",45,1,NA,8,9,10,NA,NA,4,7
637,"AT","Austria","male",58,2,2,3,7,7,2,2,4,4
638,"AT","Austria",NA,61,2,2,3,6,8,4,4,3,4
639,"AT","Austria","female",62,2,3,4,5,8,2,2,0,4
640,"AT","Austria","male",45,2,2,7,7,9,8,3,4,4
641,"AT","Austria","male",58,1,6,2,8,9,8,2,2,5
642,"AT","Austria","male",26,3,2,0,5,5,3,3,0,0
649,"AT","Austria","male",61,2,5,5,5,5,3,2,3,3
650,"AT","Austria","female",50,2,5,5,5,7,3,3,3,5
651,"AT","Austria","male",58,2,6,6,5,7,3,4,3,7
661,"AT","Austria","female",31,2,NA,3,6,6,3,2,1,1
662,"AT","Austria",NA,60,2,5,7,8,8,6,6,3,1
663,"AT","Austria","female",25,2,NA,3,7,9,5,5,3,0
669,"AT","Austria","male",32,1,7,10,10,10,9,9,10,10
670,"AT","Austria","female",33,1,NA,7,9,6,5,5,7,7
671,"AT","Austria","female",20,1,1,6,10,3,3,3,4,9
677,"AT","Austria","female",61,1,NA,7,7,8,8,8,5,5
685,"AT","Austria","female",58,1,5,7,8,8,4,4,3,2
697,"AT","Austria","male",26,1,6,7,7,9,7,7,8,7
698,"AT","Austria","male",63,2,3,8,7,9,7,7,8,7
699,"AT","Austria",NA,79,2,1,9,9,10,9,9,5,5
700,"AT","Austria",NA,25,1,2,8,8,9,7,7,3,3
701,"AT","Austria","male",24,2,2,5,5,8,5,5,0,0
702,"AT","Austria","male",76,1,5,5,5,7,6,6,8,8
709,"AT","Austria","female",57,1,8,5,4,5,3,1,1,2
710,"AT","Austria","male",76,2,2,3,2,4,2,3,3,3
711,"AT","Austria","female",88,1,10,0,5,10,0,1,5,NA
712,"AT","Austria","male",37,4,2,4,0,0,6,5,8,7
717,"AT","Austria",NA,37,2,4,10,10,10,0,0,1,3
718,"AT","Austria",NA,47,2,5,10,10,8,6,4,4,4
719,"AT","Austria","male",36,2,2,7,6,8,5,5,3,3
725,"AT","Austria","male",64,3,2,4,5,7,5,3,3,3
726,"AT","Austria",NA,38,3,1,3,3,6,1,0,0,4
727,"AT","Austria","female",33,2,NA,6,7,10,8,8,NA,NA
733,"AT","Austria","male",66,2,4,8,7,8,6,5,3,5
734,"AT","Austria","female",61,3,3,2,7,9,3,2,2,1
735,"AT","Austria","female",25,1,3,NA,5,2,3,3,NA,NA
736,"AT","Austria",NA,66,4,1,0,0,2,2,2,0,3
